ID;name;slug;lat;lng;codice_provincia_istat;codice_comune_istat;codice_alfanumerico_istat;capoluogo_provincia;capoluogo_regione
665;Priocca;priocca;447.874;80.653;4;176;4176;0;0
666;Priola;priola;442.447;80.224;4;177;4177;0;0
667;Prunetto;prunetto;444.912;81.449;4;178;4178;0;0
668;Racconigi;racconigi;447.711;76.841;4;179;4179;0;0
669;Revello;revello;446.556;73.927;4;180;4180;0;0
670;Rifreddo;rifreddo;405.738;158.267;4;181;4181;0;0
671;Rittana;rittana;443.512;73.985;4;182;4182;0;0
672;Roaschia;roaschia;442.702;74.543;4;183;4183;0;0
673;Roascio;roascio;444.153;80.295;4;184;4184;0;0
674;Robilante;robilante;442.945;75.113;4;185;4185;0;0
675;Roburent;roburent;443.078;78.923;4;186;4186;0;0
676;Roccabruna;roccabruna;444.806;73.363;4;187;4187;0;0
677;Rocca Cigliè;rocca-ciglie;444.467;79.508;4;188;4188;0;0
678;Rocca de' Baldi;rocca-de-baldi;444.243;77.619;4;189;4189;0;0
679;Roccaforte Mondovì;roccaforte-mondovi;443.189;7.746;4;190;4190;0;0
680;Roccasparvera;roccasparvera;443.414;74.414;4;191;4191;0;0
681;Roccavione;roccavione;443.156;74.836;4;192;4192;0;0
682;Rocchetta Belbo;rocchetta-belbo;44.637;81.764;4;193;4193;0;0
683;Roddi;roddi;446.806;79.766;4;194;4194;0;0
684;Roddino;roddino;445.739;80.191;4;195;4195;0;0
685;Rodello;rodello;446.295;8.058;4;196;4196;0;0
686;Rossana;rossana;445.441;74.324;4;197;4197;0;0
687;Ruffia;ruffia;447.077;76.052;4;198;4198;0;0
688;Sale delle Langhe;sale-delle-langhe;443.962;80.813;4;199;4199;0;0
689;Sale San Giovanni;sale-san-giovanni;444.002;80.791;4;200;4200;0;0
690;Saliceto;saliceto;444.144;81.699;4;201;4201;0;0
691;Salmour;salmour;445.786;77.932;4;202;4202;0;0
692;Saluzzo;saluzzo;446.446;74.926;4;203;4203;0;0
693;Sambuco;sambuco;443.371;7.079;4;204;4204;0;0
694;Sampeyre;sampeyre;445.793;71.878;4;205;4205;0;0
695;San Benedetto Belbo;san-benedetto-belbo;444.913;80.589;4;206;4206;0;0
696;San Damiano Macra;san-damiano-macra;444.889;72.576;4;207;4207;0;0
697;Sanfrè;sanfre;447.509;78.038;4;208;4208;0;0
698;Sanfront;sanfront;446.481;73.222;4;209;4209;0;0
699;San Michele Mondovì;san-michele-mondovi;443.781;79.122;4;210;4210;0;0
700;Sant'Albano Stura;santalbano-stura;44.51;77.234;4;211;4211;0;0
701;Santa Vittoria d'Alba;santa-vittoria-dalba;446.997;79.384;4;212;4212;0;0
702;Santo Stefano Belbo;santo-stefano-belbo;447.085;82.302;4;213;4213;0;0
703;Santo Stefano Roero;santo-stefano-roero;447.891;79.408;4;214;4214;0;0
704;Savigliano;savigliano;44.648;76.584;4;215;4215;0;0
705;Scagnello;scagnello;443.342;79.847;4;216;4216;0;0
706;Scarnafigi;scarnafigi;446.799;7.567;4;217;4217;0;0
707;Serralunga d'Alba;serralunga-dalba;446.111;80.006;4;218;4218;0;0
708;Serravalle Langhe;serravalle-langhe;445.601;80.584;4;219;4219;0;0
709;Sinio;sinio;446.012;80.218;4;220;4220;0;0
710;Somano;somano;445.364;80.089;4;221;4221;0;0
711;Sommariva del Bosco;sommariva-del-bosco;447.699;77.864;4;222;4222;0;0
712;Sommariva Perno;sommariva-perno;447.467;79.017;4;223;4223;0;0
713;Stroppo;stroppo;445.058;71.267;4;224;4224;0;0
714;Tarantasca;tarantasca;444.945;75.447;4;225;4225;0;0
715;Torre Bormida;torre-bormida;445.631;81.569;4;226;4226;0;0
716;Torre Mondovì;torre-mondovi;443.539;79.008;4;227;4227;0;0
717;Torre San Giorgio;torre-san-giorgio;447.367;75.292;4;228;4228;0;0
718;Torresina;torresina;444.347;80.378;4;229;4229;0;0
719;Treiso;treiso;446.894;80.869;4;230;4230;0;0
720;Trezzo Tinella;trezzo-tinella;446.779;81.076;4;231;4231;0;0
721;Trinità;trinita;403.731;156.102;4;232;4232;0;0
722;Valdieri;valdieri;442.788;73.988;4;233;4233;0;0
723;Valgrana;valgrana;444.124;73.813;4;234;4234;0;0
724;Valloriate;valloriate;44.338;73.721;4;235;4235;0;0
725;Valmala;valmala;445.441;73.464;4;236;4236;0;0
726;Venasca;venasca;44.565;7.405;4;237;4237;0;0
727;Verduno;verduno;446.672;79.319;4;238;4238;0;0
728;Vernante;vernante;44.245;75.345;4;239;4239;0;0
729;Verzuolo;verzuolo;446.012;74.831;4;240;4240;0;0
730;Vezza d'Alba;vezza-dalba;447.638;80.091;4;241;4241;0;0
731;Vicoforte;vicoforte;443.629;78.636;4;242;4242;0;0
732;Vignolo;vignolo;443.633;74.739;4;243;4243;0;0
733;Villafalletto;villafalletto;445.449;75.413;4;244;4244;0;0
734;Villanova Mondovì;villanova-mondovi;44.348;77.675;4;245;4245;0;0
735;Villanova Solaro;villanova-solaro;447.309;75.756;4;246;4246;0;0
736;Villar San Costanzo;villar-san-costanzo;444.841;73.811;4;247;4247;0;0
737;Vinadio;vinadio;443.066;71.737;4;248;4248;0;0
738;Viola;viola;442.912;79.652;4;249;4249;0;0
739;Vottignasco;vottignasco;445.652;75.803;4;250;4250;0;0
740;Agliano Terme;agliano-terme;447.915;82.497;5;1;5001;0;0
741;Albugnano;albugnano;45.078;79.712;5;2;5002;0;0
742;Antignano;antignano;448.452;81.355;5;3;5003;0;0
743;Aramengo;aramengo;451.001;80.011;5;4;5004;0;0
744;Asti;asti;449.009;82.068;5;5;5005;1;0
745;Azzano d'Asti;azzano-dasti;448.754;82.679;5;6;5006;0;0
746;Baldichieri d'Asti;baldichieri-dasti;449.054;80.908;5;7;5007;0;0
747;Belveglio;belveglio;448.309;83.296;5;8;5008;0;0
748;Berzano di San Pietro;berzano-di-san-pietro;450.952;79.531;5;9;5009;0;0
749;Bruno;bruno;447.939;8.441;5;10;5010;0;0
750;Bubbio;bubbio;446.642;8.295;5;11;5011;0;0
751;Buttigliera d'Asti;buttigliera-dasti;450.223;79.507;5;12;5012;0;0
752;Calamandrana;calamandrana;447.381;83.399;5;13;5013;0;0
753;Calliano;calliano;450.094;82.558;5;14;5014;0;0
754;Calosso;calosso;447.393;82.281;5;15;5015;0;0
755;Camerano Casasco;camerano-casasco;449.925;80.909;5;16;5016;0;0
756;Canelli;canelli;447.193;8.287;5;17;5017;0;0
757;Cantarana;cantarana;451.994;120.987;5;18;5018;0;0
758;Capriglio;capriglio;444.778;102.041;5;19;5019;0;0
759;Casorzo;casorzo;450.234;83.381;5;20;5020;0;0
760;Cassinasco;cassinasco;446.895;83.018;5;21;5021;0;0
761;Castagnole delle Lanze;castagnole-delle-lanze;447.522;81.514;5;22;5022;0;0
762;Castagnole Monferrato;castagnole-monferrato;44.96;83.048;5;23;5023;0;0
763;Castel Boglione;castel-boglione;44.723;83.811;5;24;5024;0;0
764;Castell'Alfero;castellalfero;449.824;82.102;5;25;5025;0;0
765;Castellero;castellero;449.257;80.743;5;26;5026;0;0
766;Castelletto Molina;castelletto-molina;44.751;84.325;5;27;5027;0;0
767;Castello di Annone;castello-di-annone;448.792;83.138;5;28;5028;0;0
768;Castelnuovo Belbo;castelnuovo-belbo;448.006;84.116;5;29;5029;0;0
769;Castelnuovo Calcea;castelnuovo-calcea;447.892;82.851;5;30;5030;0;0
770;Castelnuovo Don Bosco;castelnuovo-don-bosco;45.041;79.643;5;31;5031;0;0
771;Castel Rocchero;castel-rocchero;447.196;84.149;5;32;5032;0;0
772;Cellarengo;cellarengo;448.651;79.451;5;33;5033;0;0
773;Celle Enomondo;celle-enomondo;448.578;81.249;5;34;5034;0;0
774;Cerreto d'Asti;cerreto-dasti;450.496;80.367;5;35;5035;0;0
775;Cerro Tanaro;cerro-tanaro;448.739;83.597;5;36;5036;0;0
776;Cessole;cessole;446.501;82.454;5;37;5037;0;0
777;Chiusano d'Asti;chiusano-dasti;44.985;81.181;5;38;5038;0;0
778;Cinaglio;cinaglio;449.762;81.013;5;39;5039;0;0
779;Cisterna d'Asti;cisterna-dasti;448.251;80.038;5;40;5040;0;0
780;Coazzolo;coazzolo;447.283;81.455;5;41;5041;0;0
781;Cocconato;cocconato;450.886;80.395;5;42;5042;0;0
782;Corsione;corsione;45.003;8.146;5;44;5044;0;0
783;Cortandone;cortandone;44.96;80.574;5;45;5045;0;0
784;Cortanze;cortanze;450.153;80.892;5;46;5046;0;0
785;Cortazzone;cortazzone;449.798;80.618;5;47;5047;0;0
786;Cortiglione;cortiglione;448.235;83.583;5;48;5048;0;0
787;Cossombrato;cossombrato;449.927;81.366;5;49;5049;0;0
788;Costigliole d'Asti;costigliole-dasti;44.785;8.182;5;50;5050;0;0
789;Cunico;cunico;450.404;80.969;5;51;5051;0;0
790;Dusino San Michele;dusino-san-michele;449.267;79.727;5;52;5052;0;0
791;Ferrere;ferrere;448.783;79.942;5;53;5053;0;0
792;Fontanile;fontanile;447.539;84.225;5;54;5054;0;0
793;Frinco;frinco;450.049;81.719;5;55;5055;0;0
794;Grana;grana;449.994;83.006;5;56;5056;0;0
795;Grazzano Badoglio;grazzano-badoglio;450.404;8.312;5;57;5057;0;0
796;Incisa Scapaccino;incisa-scapaccino;448.088;83.751;5;58;5058;0;0
797;Isola d'Asti;isola-dasti;448.291;81.778;5;59;5059;0;0
798;Loazzolo;loazzolo;446.698;82.582;5;60;5060;0;0
799;Maranzana;maranzana;447.605;84.787;5;61;5061;0;0
800;Maretto;maretto;449.453;80.348;5;62;5062;0;0
801;Moasca;moasca;447.631;82.787;5;63;5063;0;0
802;Mombaldone;mombaldone;445.721;83.366;5;64;5064;0;0
803;Mombaruzzo;mombaruzzo;447.721;84.484;5;65;5065;0;0
804;Mombercelli;mombercelli;448.174;82.944;5;66;5066;0;0
805;Monale;monale;449.353;80.727;5;67;5067;0;0
806;Monastero Bormida;monastero-bormida;446.487;83.258;5;68;5068;0;0
807;Moncalvo;moncalvo;450.512;82.664;5;69;5069;0;0
808;Moncucco Torinese;moncucco-torinese;450.649;79.331;5;70;5070;0;0
809;Mongardino;mongardino;448.487;82.178;5;71;5071;0;0
810;Montabone;montabone;446.988;83.901;5;72;5072;0;0
811;Montafia;montafia;449.897;80.241;5;73;5073;0;0
812;Montaldo Scarampi;montaldo-scarampi;448.314;82.602;5;74;5074;0;0
813;Montechiaro d'Asti;montechiaro-dasti;450.083;81.125;5;75;5075;0;0
814;Montegrosso d'Asti;montegrosso-dasti;448.217;82.388;5;76;5076;0;0
815;Montemagno;montemagno;438.475;10.94;5;77;5077;0;0
816;Moransengo;moransengo;451.158;80.246;5;79;5079;0;0
817;Nizza Monferrato;nizza-monferrato;447.748;8.355;5;80;5080;0;0
818;Olmo Gentile;olmo-gentile;445.862;82.484;5;81;5081;0;0
819;Passerano Marmorito;passerano-marmorito;45.071;80.213;5;82;5082;0;0
820;Penango;penango;450.315;82.506;5;83;5083;0;0
821;Piea;piea;450.232;80.681;5;84;5084;0;0
822;Pino d'Asti;pino-dasti;450.575;79.863;5;85;5085;0;0
